"HF","RΘgime de financement","HC","Fonction","HP","Prestataire","MEASURE","Mesure","LOCATION","Pays","TIME","AnnΘe","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2011","2011","PC","Pourcentage","0","Unités",,,11.185,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2012","2012","PC","Pourcentage","0","Unités",,,11.297,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2013","2013","PC","Pourcentage","0","Unités",,,11.416,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2014","2014","PC","Pourcentage","0","Unités",,,11.544,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2015","2015","PC","Pourcentage","0","Unités",,,11.448,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2016","2016","PC","Pourcentage","0","Unités",,,11.472,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2017","2017","PC","Pourcentage","0","Unités",,,11.333,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2018","2018","PC","Pourcentage","0","Unités",,,11.198,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2019","2019","PC","Pourcentage","0","Unités",,,11.112,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","FRA","France","2020","2020","PC","Pourcentage","0","Unités",,,12.377,"E","Valeur estimée"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2010","2010","PC","Pourcentage","0","Unités",,,9.157,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2011","2011","PC","Pourcentage","0","Unités",,,10.617,"B","Rupture"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2012","2012","PC","Pourcentage","0","Unités",,,10.791,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2013","2013","PC","Pourcentage","0","Unités",,,10.792,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2014","2014","PC","Pourcentage","0","Unités",,,10.832,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2015","2015","PC","Pourcentage","0","Unités",,,10.886,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2016","2016","PC","Pourcentage","0","Unités",,,10.835,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2017","2017","PC","Pourcentage","0","Unités",,,10.796,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2018","2018","PC","Pourcentage","0","Unités",,,10.926,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","JPN","Japon","2019","2019","PC","Pourcentage","0","Unités",,,11.037,"E","Valeur estimée"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2010","2010","PC","Pourcentage","0","Unités",,,7.031,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2011","2011","PC","Pourcentage","0","Unités",,,6.112,"B","Rupture"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2012","2012","PC","Pourcentage","0","Unités",,,5.584,"B","Rupture"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2013","2013","PC","Pourcentage","0","Unités",,,5.528,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2014","2014","PC","Pourcentage","0","Unités",,,5.437,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2015","2015","PC","Pourcentage","0","Unités",,,5.284,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2016","2016","PC","Pourcentage","0","Unités",,,5.195,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2017","2017","PC","Pourcentage","0","Unités",,,5.258,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2018","2018","PC","Pourcentage","0","Unités",,,5.286,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LUX","Luxembourg","2019","2019","PC","Pourcentage","0","Unités",,,5.371,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2010","2010","PC","Pourcentage","0","Unités",,,10.155,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2011","2011","PC","Pourcentage","0","Unités",,,10.234,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2012","2012","PC","Pourcentage","0","Unités",,,10.539,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2013","2013","PC","Pourcentage","0","Unités",,,10.584,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2014","2014","PC","Pourcentage","0","Unités",,,10.567,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2015","2015","PC","Pourcentage","0","Unités",,,10.324,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2016","2016","PC","Pourcentage","0","Unités",,,10.294,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2017","2017","PC","Pourcentage","0","Unités",,,10.108,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2018","2018","PC","Pourcentage","0","Unités",,,10.032,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2019","2019","PC","Pourcentage","0","Unités",,,10.165,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NLD","Pays-Bas","2020","2020","PC","Pourcentage","0","Unités",,,11.218,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2010","2010","PC","Pourcentage","0","Unités",,,8.906,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2011","2011","PC","Pourcentage","0","Unités",,,8.789,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2012","2012","PC","Pourcentage","0","Unités",,,8.778,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2013","2013","PC","Pourcentage","0","Unités",,,8.93,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2014","2014","PC","Pourcentage","0","Unités",,,9.345,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2015","2015","PC","Pourcentage","0","Unités",,,10.131,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2016","2016","PC","Pourcentage","0","Unités",,,10.591,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2017","2017","PC","Pourcentage","0","Unités",,,10.316,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2018","2018","PC","Pourcentage","0","Unités",,,10.024,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2019","2019","PC","Pourcentage","0","Unités",,,10.521,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","NOR","Norvège","2020","2020","PC","Pourcentage","0","Unités",,,11.344,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2010","2010","PC","Pourcentage","0","Unités",,,5.737,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2011","2011","PC","Pourcentage","0","Unités",,,5.519,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2012","2012","PC","Pourcentage","0","Unités",,,5.665,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2013","2013","PC","Pourcentage","0","Unités",,,5.809,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2014","2014","PC","Pourcentage","0","Unités",,,5.553,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2015","2015","PC","Pourcentage","0","Unités",,,5.723,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2016","2016","PC","Pourcentage","0","Unités",,,5.553,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2017","2017","PC","Pourcentage","0","Unités",,,5.458,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2018","2018","PC","Pourcentage","0","Unités",,,5.379,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2019","2019","PC","Pourcentage","0","Unités",,,5.433,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","MEX","Mexique","2020","2020","PC","Pourcentage","0","Unités",,,6.211,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2010","2010","PC","Pourcentage","0","Unités",,,6.12,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2011","2011","PC","Pourcentage","0","Unités",,,5.542,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2012","2012","PC","Pourcentage","0","Unités",,,5.381,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2013","2013","PC","Pourcentage","0","Unités",,,5.368,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2014","2014","PC","Pourcentage","0","Unités",,,5.466,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2015","2015","PC","Pourcentage","0","Unités",,,5.655,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2016","2016","PC","Pourcentage","0","Unités",,,6.136,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2017","2017","PC","Pourcentage","0","Unités",,,5.97,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2018","2018","PC","Pourcentage","0","Unités",,,6.191,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","LVA","Lettonie","2019","2019","PC","Pourcentage","0","Unités",,,6.578,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2010","2010","PC","Pourcentage","0","Unités",,,8.916,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2011","2011","PC","Pourcentage","0","Unités",,,8.774,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2012","2012","PC","Pourcentage","0","Unités",,,8.784,"B","Rupture"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2013","2013","PC","Pourcentage","0","Unités",,,8.775,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2014","2014","PC","Pourcentage","0","Unités",,,8.868,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2015","2015","PC","Pourcentage","0","Unités",,,8.857,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2016","2016","PC","Pourcentage","0","Unités",,,8.725,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2017","2017","PC","Pourcentage","0","Unités",,,8.678,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2018","2018","PC","Pourcentage","0","Unités",,,8.675,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2019","2019","PC","Pourcentage","0","Unités",,,8.669,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","ITA","Italie","2020","2020","PC","Pourcentage","0","Unités",,,9.716,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2010","2010","PC","Pourcentage","0","Unités",,,10.506,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2011","2011","PC","Pourcentage","0","Unités",,,10.677,"B","Rupture"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2012","2012","PC","Pourcentage","0","Unités",,,10.653,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2013","2013","PC","Pourcentage","0","Unités",,,10.297,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2014","2014","PC","Pourcentage","0","Unités",,,9.535,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2015","2015","PC","Pourcentage","0","Unités",,,7.316,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2016","2016","PC","Pourcentage","0","Unités",,,7.425,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2017","2017","PC","Pourcentage","0","Unités",,,7.064,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2018","2018","PC","Pourcentage","0","Unités",,,6.86,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2019","2019","PC","Pourcentage","0","Unités",,,6.679,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","IRL","Irlande","2020","2020","PC","Pourcentage","0","Unités",,,7.194,"P","Valeur provisoire"
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","HUN","Hongrie","2010","2010","PC","Pourcentage","0","Unités",,,7.463,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","HUN","Hongrie","2011","2011","PC","Pourcentage","0","Unités",,,7.491,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","HUN","Hongrie","2012","2012","PC","Pourcentage","0","Unités",,,7.43,,
"HFTOT","Tous les régimes de financement","HCTOT","Dépenses courantes de santé (toutes les fonctions)","HPTOT","Tous les prestataires","PARPIB","Pourcentage du produit intérieur brut","HUN","Hongrie","2013","2013","PC","Pourcentage","0","Unités",,,7.249,,
