"COU","Pays","PER","Périodes","IND","Indicateur","GEN","Genre","AGE","Groupe d'âge","VAL","Valeur","Value","Flag Codes","Flags"
"ISL","Islande","TIME01","2001","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",15.3,,
"ISL","Islande","TIME02","2002","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",15.6,,
"ISL","Islande","TIME03","2003","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",15.5,,
"ISL","Islande","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.7,,
"ISL","Islande","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.7,,
"ISL","Islande","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.2,,
"ISL","Islande","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.5,,
"ISL","Islande","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.3,,
"ISL","Islande","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.5,,
"ISL","Islande","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.7,,
"ISL","Islande","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.7,,
"ISL","Islande","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.2,,
"ITA","Italie","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.9,,
"ITA","Italie","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.3,,
"ITA","Italie","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.1,,
"ITA","Italie","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.8,,
"ITA","Italie","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.4,,
"ITA","Italie","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.3,,
"ITA","Italie","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.1,,
"KOR","Corée","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",14.2,,
"KOR","Corée","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.9,,
"KOR","Corée","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.2,,
"KOR","Corée","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.9,,
"KOR","Corée","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.8,,
"LUX","Luxembourg","TIME03","2003","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",16.7,,
"LUX","Luxembourg","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",14.3,,
"LUX","Luxembourg","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.5,,
"LUX","Luxembourg","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.6,,
"LUX","Luxembourg","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.7,,
"LUX","Luxembourg","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.3,,
"LUX","Luxembourg","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.7,,
"LUX","Luxembourg","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.5,"B","Rupture"
"LUX","Luxembourg","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.3,,
"LUX","Luxembourg","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.5,,
"NLD","Pays-Bas","TIME00","2000","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",16.6,,
"NLD","Pays-Bas","TIME01","2001","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",15.5,,
"NLD","Pays-Bas","TIME02","2002","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",15.5,,
"NLD","Pays-Bas","TIME03","2003","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",15.2,,
"NLD","Pays-Bas","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.9,,
"NLD","Pays-Bas","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.1,,
"NLD","Pays-Bas","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.4,,
"NLD","Pays-Bas","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.8,,
"NLD","Pays-Bas","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.2,,
"NLD","Pays-Bas","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.8,,
"NLD","Pays-Bas","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.1,,
"NLD","Pays-Bas","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.3,,
"NLD","Pays-Bas","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.1,,
"NZL","Nouvelle-Zélande","TIME00","2000","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.1,,
"NZL","Nouvelle-Zélande","TIME01","2001","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.7,,
"NZL","Nouvelle-Zélande","TIME02","2002","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.3,,
"NZL","Nouvelle-Zélande","TIME03","2003","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11.5,,
"NZL","Nouvelle-Zélande","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.4,,
"NZL","Nouvelle-Zélande","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.8,,
"NZL","Nouvelle-Zélande","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.6,,
"NZL","Nouvelle-Zélande","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.1,,
"NZL","Nouvelle-Zélande","TIME08","2008","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9,,
"NZL","Nouvelle-Zélande","TIME09","2009","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.6,,
"NZL","Nouvelle-Zélande","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.5,,
"NZL","Nouvelle-Zélande","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.6,,
"NZL","Nouvelle-Zélande","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.9,,
"NOR","Norvège","TIME10","2010","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.6,,
"NOR","Norvège","TIME11","2011","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.7,,
"NOR","Norvège","TIME12","2012","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.9,,
"POL","Pologne","TIME04","2004","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",14.9,,
"POL","Pologne","TIME05","2005","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.3,,
"POL","Pologne","TIME06","2006","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",11,,
"POL","Pologne","TIME07","2007","MORTAMIO","Mortalité à 30 jours après admission pour infarctus aigu du myocarde (taux basés sur les données couplées)","T","Total","TOTAL_45","45 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10.8,,
