"COU","Pays","PER","Périodes","IND","Indicateur","GEN","Genre","AGE","Groupe d'âge","VAL","Valeur","Value","Flag Codes","Flags"
"ISR","Israël","TIME09","2009","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",7.6,,
"ISR","Israël","TIME12","2012","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",4.9,,
"AUS","Australie","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",13.9,,
"AUS","Australie","TIME14","2014","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3.1,,
"AUS","Australie","TIME15","2015","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3.6,,
"CAN","Canada","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.3,,
"CAN","Canada","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.8,,
"CZE","République tchèque","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",10,,
"FRA","France","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",6.2,,
"DEU","Allemagne","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.7,,
"DEU","Allemagne","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",4.7,,
"NLD","Pays-Bas","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",2.8,,
"NLD","Pays-Bas","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",7,"B","Rupture"
"NZL","Nouvelle-Zélande","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",8.4,,
"NZL","Nouvelle-Zélande","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",9.7,,
"NOR","Norvège","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.5,,
"NOR","Norvège","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3.9,,
"SWE","Suède","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3.9,,
"SWE","Suède","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3.3,,
"CHE","Suisse","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",4.7,,
"CHE","Suisse","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",12.5,,
"GBR","Royaume-Uni","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3,,
"GBR","Royaume-Uni","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",2.8,,
"USA","États-Unis","TIME10","2010","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",21.9,,
"USA","États-Unis","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",19.5,,
"ISR","Israël","TIME14","2014","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",4.7,,
"ISR","Israël","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",3,"B","Rupture"
"AUS","Australie","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",7.7,"B","Rupture"
"KOR","Corée","TIME18","2018","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.5,,
"NLD","Pays-Bas","TIME17","2017","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",5.5,,
"POL","Pologne","TIME16","2016","MTSKCOST","Test médical, traitement ou suivi annulés pour cause de coût","T","Total","TOTAL_16","16 ans et plus","AS_STD_RATE_CPAT","Taux standardisé par âge et sexe pour 100 patients",0.8,"B","Rupture"
